1,3,4,5,6,7
Violett Beane,Markie Cameron,,,,
Hayden Szeto,Brad Chang,,,,
Sophia Ali,Penelope Amari,,,,
Nolan Gerard Funk,Tyson Curran,,,,
Landon Liboiron,Carter / Sam Meehan,,,,
Sam Lerner,Ronald 'Ronnie' Wakowski,,,,
Tom Choi,Officer Han Chang,,,,
Aurora Perrineau,Giselle Hammond,,,,
Gregg Daniel,Detective Kranis,,,,
Brady Smith,Roy Cameron,,,,
Vera Taylor,Inez Reyes,,,,
Ezmie Garcia,Young Inez / Inez's Granddaughter,,,,
Andrew Howard,Randall Himoff,,,,
Olivia Colman,Queen Anne,,,,
Rachel Weisz,Lady Sarah,,,,
Emma Delves,Queen's Maid,,,,
Faye Daveney,Sarah's Maid,,,,
Emma Stone,Abigail,,,,
Paul Swaine,Wanking Man,,,,
Jennifer White,Mrs Meg,,,,
Lilly-Rose Stevens,Sally,,,,
Denise Mack,Kitchen Servant,,,,
James Smith,Godolphin,,,,
Mark Gatiss,Lord Marlborough,,,,
Horatio,Fastest Duck in the City,,,,
Willem Dalby,Central Tory Booker,,,,
Edward Aczel,Earl of Stratford,,,,
Carolyn Saint-Pé,Madam Tournee,,,,
Anna Kendrick,Stephanie Smothers,,,,
Ian Ho,Nicky Nelson,,,,
Joshua Satine,Miles Smothers,,,,
Glenda Braganza,Mrs. Kerry,,,,
Andrew Rannells,Darren,,,,
Kelly McCormack,Stacy,,,,
Aparna Nancherla,Sona,,,,
Jiah Mavji,Sona's Daughter,,,,
Ava LaFramboise,Lulu,,,,
Blake Lively,Emily Nelson,,,,
Henry Golding,Sean Townsend,,,,
Dustin Milligan,Chris,,,,
Danielle Bourgon,Grace (Stephanie's Mom),,,,
Gia Sandhu,Valerie,,,,
Lila Yee,Margaret (Sean's Mom),,,,
Kodi Smit-McPhee,Keda,,,,
Jóhannes Haukur Jóhannesson,Tau,,,,
Marcin Kowalczyk,Sigma,,,,
Jens Hultén,Xi,,,,
Natassia Malthe,Rho,,,,
Spencer Bogaert,Kappa,,,,
Mercedes de la Zerda,Nu,,,,
Leonor Varela,Shaman Woman,,,,
Morgan Freeman,Narrator (voice),,,,
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,,,,
Chuck,Alpha (uncredited),,,,
Nestor de la Zerda,Solutrean Hunter #1 (uncredited),,,,
Patrick Flanagan,Neanderthal #3 (uncredited),,,,
Damon Hoffman,Neanderthal (uncredited),,,,
Taran Kootenhayoo,Solutrean Hunter #6 (uncredited),,,,
Diane Keaton,Diane,,,,
Jane Fonda,Vivian,,,,
Candice Bergen,Sharon,,,,
Mary Steenburgen,Carol,,,,
Andy Garcia,Mitchell,,,,
Craig T. Nelson,Bruce,,,,
Don Johnson,Arthur,,,,
Ed Begley Jr.,Tom,,,,
Richard Dreyfuss,George,,,,
Wallace Shawn,Dr. Derek,,,,
Alicia Silverstone,Jill,,,,
Katie Aselton,Adrianne,,,,
Mircea Monroe,Cheryl,,,,
Tommy Dewey,Chris,,,,
John Shartzer,Andrew,,,,
Ryan Gosling,Neil Armstrong,,,,
Claire Foy,Janet Armstrong,,,,
Jason Clarke,Ed White,,,,
Kyle Chandler,Deke Slayton,,,,
Corey Stoll,Buzz Aldrin,,,,
Patrick Fugit,Elliot See,,,,
Christopher Abbott,Dave Scott,,,,
Ciarán Hinds,Bob Gilruth,,,,
Olivia Hamilton,Pat White,,,,
Pablo Schreiber,James Lovell,,,,
Shea Whigham,Gus Grissom,,,,
Lukas Haas,Mike Collins,,,,
Ethan Embry,Pete Conrad,,,,
Brian d'Arcy James,Joe Walker,,,,
Cory Michael Smith,Roger Chaffee,,,,
Allie Chan,Ying Luo,,,,
Shaofeng Feng,Tangseng,,,,
Aaron Kwok,Sun Wukong,,,,
Him Law,Shaseng (as Chung Him Law),,,,
Gigi Leung,Advisor,,,,
Chiling Lin,Hebo,,,,
Tao Liu,Guanyin,,,,
Yihan Sun,,,,,
Lun Tsai,Warrior,,,,
Shenyang Xiao,Zhu Bajie,,,,
King-Tan Yuen,Priest,,,,
Zanilia Zhao,Nü'erguo guowang,,,,
Jason Bateman,Max,,,,
Rachel McAdams,Annie,,,,
Kyle Chandler,Brooks,,,,
Sharon Horgan,Sarah,,,,
Billy Magnussen,Ryan,,,,
Lamorne Morris,Kevin,,,,
Kylie Bunbury,Michelle,,,,
Jesse Plemons,Gary,,,,
Michael C. Hall,The Bulgarian,,,,
Danny Huston,Donald Anderton,,,,
Chelsea Peretti,Glenda,,,,
Camille Chen,Dr. Chin,,,,
Zerrick Williams,Val (as Zerrick Deion Williams),,,,
Joshua Mikel,Colin,,,,
R.F. Daley,Tats,,,,
Liam Neeson,Michael MacCauley,,,,
Vera Farmiga,Joanna,,,,
Patrick Wilson,Alex Murphy,,,,
Jonathan Banks,Walt,,,,
Sam Neill,Captain Hawthorne,,,,
Elizabeth McGovern,Karen MacCauley,,,,
Killian Scott,Dylan,,,,
Shazad Latif,Vince,,,,
Andy Nyman,Tony,,,,
Clara Lago,Eva,,,,
Roland Møller,Jackson,,,,
Florence Pugh,Gwen,,,,
Dean-Charles Chapman,Danny MacCauley,,,,
Ella-Rae Smith,Sofia,,,,
Nila Aalia,Sherri,,,,
Mark Wahlberg,Pete,,,,
Rose Byrne,Ellie,,,,
Isabela Moner,Lizzy,,,,
Gustavo Escobar,Juan (as Gustavo Quiroz),,,,
Julianna Gamiz,Lita,,,,
Octavia Spencer,Karen,,,,
Tig Notaro,Sharon,,,,
Tom Segura,Russ,,,,
Allyn Rachel,Kim,,,,
Britt Rentschler,Linda (as Brittney Rentschler),,,,
Jody Thompson,Jim,,,,
Margo Martindale,Grandma Sandy,,,,
Julie Hagerty,Jan,,,,
Michael O'Keefe,Jerry,,,,
Joan Cusack,Mrs. Howard,,,,
Jack Black,Jonathan Barnavelt,,,,
Cate Blanchett,Florence Zimmerman,,,,
Owen Vaccaro,Lewis Barnavelt,,,,
Kyle MacLachlan,Isaac Izard,,,,
Renée Elise Goldsberry,Selena Izard,,,,
Colleen Camp,Mrs. Hanchett,,,,
Sunny Suljic,Tarby Corrigan,,,,
Lorenza Izzo,Mother,,,,
Braxton Bjerken,Woody Mingo,,,,
Vanessa Anne Williams,Rose Rita Pottinger,,,,
Ricky Muse,Bus Driver (as Ricky Lynn Muse),,,,
Charles Green,Soda Jerk,,,,
De'Jon Watts,Clark (as DJ Watts),,,,
Aaron Beelner,Clown Automaton,,,,
Joshua Phillips,Clown Automaton,,,,
Storm Reid,Meg,,,,
Oprah Winfrey,Mrs. Which,,,,
Reese Witherspoon,Mrs. Whatsit,,,,
Mindy Kaling,Mrs. Who,,,,
Levi Miller,Calvin,,,,
Deric McCabe,Charles Wallace,,,,
Chris Pine,Mr. Murry,,,,
Gugu Mbatha-Raw,Mrs. Murry,,,,
Zach Galifianakis,Happy Medium,,,,
Michael Peña,Red,,,,
André Holland,Principal Jenkins,,,,
Rowan Blanchard,Veronica Kiley,,,,
Bellamy Young,Camazotz Woman,,,,
David Oyelowo,The It (voice),,,,
Conrad Roberts,Elegant Man,,,,
Y'lan Noel,Dmitri,,,,
Lex Scott Davis,Nya,,,,
Joivan Wade,Isaiah,,,,
Mugga,Dolores,,,,
Patch Darragh,Chief of Staff - Arlo Sabian,,,,
Marisa Tomei,The Architect - Dr. Updale,,,,
Luna Lauren Velez,Luisa,,,,
Kristen Solis,Selina,,,,
Rotimi Paul,Skeletor,,,,
Mo McRae,7 & 7,,,,
Jermel Howard,Lorenzo,,,,
Siya,Blaise,,,,
Christian Robinson,Capital A,,,,
Steve Harris,Freddy,,,,
Derek Basco,Taz,,,,
Jennifer Lawrence,Dominika Egorova,,,,
Joel Edgerton,Nate Nash,,,,
Matthias Schoenaerts,Vanya Egorov,,,,
Charlotte Rampling,Matron,,,,
Mary-Louise Parker,Stephanie Boucher,,,,
Ciarán Hinds,Zakharov,,,,
Joely Richardson,Nina Egorova,,,,
Bill Camp,Marty Gable,,,,
Jeremy Irons,General Korchnoi,,,,
Thekla Reuten,Marta,,,,
Douglas Hodge,Maxim Volontov,,,,
Sakina Jaffrey,Trish Forsyth,,,,
Sergei Polunin,Konstantin,,,,
Sasha Frolova,Anya,,,,
Sebastian Hülk,Matorin,,,,
Kevin Eldon,MI7 Night Duty Agent,,,,
Emma Thompson,Prime Minister,,,,
Adam James,Pegasus,,,,
Rowan Atkinson,Johnny English,,,,
Noah Spiers,Baggaley,,,,
Kendra Mei,Ibadulla,,,,
Alfie Kennedy,Straker,,,,
Jasmine Brightmore,Dowling,,,,
George Turner,Hattersley,,,,
Rua Robertson,Ridley,,,,
Adam Greaves-Neal,Tomlinson,,,,
Nifemi Bankole,Obasanjo,,,,
Gus Brown,Headmaster,,,,
Pippa Bennett-Warner,Lesley,,,,
Michael Gambon,Agent Five,,,,
Lin Shaye,Elise Rainier,,,,
Leigh Whannell,Specs,,,,
Angus Sampson,Tucker,,,,
Kirk Acevedo,Ted Garza,,,,
Caitlin Gerard,Imogen Rainier,,,,
Spencer Locke,Melissa Rainier,,,,
Josh Stewart,Gerald Rainier,,,,
Tessa Ferrer,Audrey Rainier,,,,
Aleque Reid,Anna,,,,
Ava Kolker,Young Elise Rainier,,,,
Pierce Pope,Young Christian Rainier,,,,
Bruce Davison,Christian Rainier,,,,
Javier Botet,KeyFace,,,,
Marcus Henderson,Detective Whitfield,,,,
Amanda Jaros,Mara Jennings,,,,
Clint Eastwood,Earl Stone,,,,
Patrick L. Reyes,Farmhand #3,,,,
Cesar De León,Jose,,,,
Gustavo Muñoz,Farmhand #2,,,,
Jackie Prucha,Helen,,,,
Richard Herd,Tim Kennedy,,,,
